"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Create file with empty filename","LMS service","Tue Aug 05 13:28:53 GMT 2025","passed","Tue Aug 05 13:28:53 GMT 2025","Validate entity","Files","",""
"","18","Delete file","LMS service","Tue Aug 05 13:28:52 GMT 2025","passed","Tue Aug 05 13:28:52 GMT 2025","Delete entity","Files","",""
"","42","Create file with empty directory","LMS service","Tue Aug 05 13:28:54 GMT 2025","passed","Tue Aug 05 13:28:54 GMT 2025","Validate entity","Files","",""
"","47","Create file","LMS service","Tue Aug 05 13:28:51 GMT 2025","passed","Tue Aug 05 13:28:51 GMT 2025","Create entity","Files","",""
"","27","Update course","LMS service","Tue Aug 05 13:28:46 GMT 2025","passed","Tue Aug 05 13:28:46 GMT 2025","Update entity","Courses","",""
"","12","Get file","LMS service","Tue Aug 05 13:28:51 GMT 2025","passed","Tue Aug 05 13:28:51 GMT 2025","Get entity","Files","",""
"","14","Get exercises","LMS service","Tue Aug 05 13:28:50 GMT 2025","passed","Tue Aug 05 13:28:50 GMT 2025","Get entities","Exercises","",""
"","20","Get exercise","LMS service","Tue Aug 05 13:28:47 GMT 2025","passed","Tue Aug 05 13:28:47 GMT 2025","Create entity","Exercises","",""
"","19","Update exercise","LMS service","Tue Aug 05 13:28:49 GMT 2025","passed","Tue Aug 05 13:28:49 GMT 2025","Update entity","Exercises","",""
"","299","Create user","LMS service","Tue Aug 05 13:28:55 GMT 2025","passed","Tue Aug 05 13:28:55 GMT 2025","Create entity","Users","",""
"","17","Delete exercise","LMS service","Tue Aug 05 13:28:49 GMT 2025","passed","Tue Aug 05 13:28:49 GMT 2025","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Tue Aug 05 13:28:56 GMT 2025","passed","Tue Aug 05 13:28:56 GMT 2025","Get entity","Users","",""
"","29","Create course","LMS service","Tue Aug 05 13:28:47 GMT 2025","passed","Tue Aug 05 13:28:47 GMT 2025","Create entity","Courses","",""
"","285","Create user","LMS service","Tue Aug 05 13:28:54 GMT 2025","passed","Tue Aug 05 13:28:55 GMT 2025","Create entity","Users","",""
"","283","Login with correct email and password","LMS service","Tue Aug 05 13:28:44 GMT 2025","passed","Tue Aug 05 13:28:45 GMT 2025","Login","Authentication","",""
"","24","Get courses","LMS service","Tue Aug 05 13:28:45 GMT 2025","passed","Tue Aug 05 13:28:45 GMT 2025","Get entities","Courses","",""
"","14","Get file with incorrect file id","LMS service","Tue Aug 05 13:28:54 GMT 2025","passed","Tue Aug 05 13:28:54 GMT 2025","Validate entity","Files","",""
"","285","Create user","LMS service","Tue Aug 05 13:28:55 GMT 2025","passed","Tue Aug 05 13:28:55 GMT 2025","Create entity","Users","",""
"","18","Create exercise","LMS service","Tue Aug 05 13:28:48 GMT 2025","passed","Tue Aug 05 13:28:48 GMT 2025","Get entity","Exercises","",""
